iter	Accuracy	Logloss
309	0.962962963	0.1601138539
310	0.962962963	0.1598000552
311	0.962962963	0.1594859763
312	0.962962963	0.1592080199
313	0.962962963	0.1588972949
314	0.962962963	0.1584321701
315	0.9646464646	0.1570937931
316	0.9663299663	0.1566635354
317	0.9646464646	0.1558971845
318	0.9646464646	0.1552808017
319	0.9663299663	0.1550731354
320	0.968013468	0.1546853199
321	0.968013468	0.1543318777
322	0.968013468	0.1537276057
323	0.9663299663	0.1531189986
324	0.968013468	0.1525388585
325	0.968013468	0.1523185702
326	0.968013468	0.1521236864
327	0.968013468	0.1517301502
328	0.968013468	0.151213495
329	0.968013468	0.1503633664
330	0.968013468	0.1497569787
331	0.968013468	0.1493570347
332	0.968013468	0.149024544
333	0.968013468	0.1485808277
334	0.968013468	0.1480318682
335	0.968013468	0.1474540245
336	0.968013468	0.1471458439
337	0.968013468	0.146850161
338	0.968013468	0.1465354618
339	0.968013468	0.1461522366
340	0.968013468	0.1458178228
341	0.968013468	0.1456337223
342	0.968013468	0.1453494779
343	0.968013468	0.1451497997
344	0.968013468	0.1444158447
345	0.968013468	0.1437721016
346	0.968013468	0.1434798789
347	0.968013468	0.143032757
348	0.968013468	0.1427971978
349	0.968013468	0.1426258618
350	0.968013468	0.141972478
351	0.968013468	0.1416741304
352	0.968013468	0.1414654955
353	0.968013468	0.1410849549
354	0.968013468	0.1407220528
355	0.968013468	0.1401598409
356	0.968013468	0.1398751583
357	0.968013468	0.1395888081
358	0.968013468	0.139248643
359	0.968013468	0.1390729081
360	0.968013468	0.1383131668
361	0.968013468	0.1380098048
362	0.9696969697	0.1377614357
363	0.9696969697	0.1375788182
364	0.9696969697	0.1372820104
365	0.9696969697	0.1369932491
366	0.9696969697	0.1363709084
367	0.9696969697	0.1362406344
368	0.9696969697	0.136010304
369	0.9713804714	0.1356596612
370	0.9713804714	0.1350321431
371	0.9713804714	0.1348139592
372	0.9713804714	0.1341213364
373	0.9713804714	0.1334956487
374	0.9713804714	0.1332513841
375	0.9713804714	0.1329834325
376	0.9713804714	0.1327348489
377	0.9713804714	0.1320158439
378	0.9713804714	0.1313764113
379	0.9713804714	0.1308633665
380	0.9713804714	0.1307155072
381	0.9730639731	0.1297968433
382	0.9730639731	0.1295503716
383	0.9747474747	0.1292115798
384	0.9747474747	0.1289554007
385	0.9764309764	0.128542079
386	0.9764309764	0.1282010889
387	0.9764309764	0.1278027194
388	0.9764309764	0.1274123124
389	0.9764309764	0.1271250641
390	0.9764309764	0.1267571089
391	0.9764309764	0.1263414098
