iter	Accuracy	Logloss
362	0.9427609428	0.1980366999
363	0.9427609428	0.1976254696
364	0.9427609428	0.1975327289
365	0.9427609428	0.1971664116
366	0.9427609428	0.1968805078
367	0.9416386083	0.1967021797
368	0.9427609428	0.1964258339
369	0.9427609428	0.1958713245
370	0.9416386083	0.195723874
371	0.9416386083	0.1953664371
372	0.9427609428	0.19466862
373	0.9438832772	0.19431327
374	0.9438832772	0.1940110791
375	0.9438832772	0.1935856763
376	0.9438832772	0.1935020905
377	0.9450056117	0.1930704394
378	0.9450056117	0.1928789632
379	0.9450056117	0.1926858012
380	0.9450056117	0.1924290369
381	0.9450056117	0.1923327129
382	0.9438832772	0.1914804511
383	0.9438832772	0.191431478
384	0.9438832772	0.1913807905
385	0.9438832772	0.1912435287
386	0.9450056117	0.1906812873
387	0.9450056117	0.1905129044
388	0.9450056117	0.190444294
389	0.9450056117	0.1901575206
390	0.9450056117	0.1894153816
391	0.9450056117	0.1886448013
392	0.9450056117	0.1882017974
393	0.9450056117	0.1878536942
394	0.9450056117	0.1875161056
395	0.9450056117	0.1871053746
396	0.9450056117	0.1867176801
397	0.9461279461	0.1864356082
398	0.9461279461	0.1862477256
399	0.9461279461	0.1858263019
400	0.9461279461	0.1856642374
401	0.9472502806	0.1852675667
402	0.9472502806	0.1851614777
403	0.9472502806	0.1850288551
404	0.948372615	0.1847344446
405	0.948372615	0.1846657432
406	0.948372615	0.1841111323
407	0.9472502806	0.1838239678
408	0.948372615	0.1831427166
409	0.9494949495	0.1824762273
410	0.9494949495	0.182432505
411	0.9494949495	0.1822273544
412	0.9494949495	0.1821773686
413	0.9494949495	0.1817524951
414	0.9494949495	0.1817007218
415	0.9494949495	0.1813210682
416	0.9494949495	0.1810873176
417	0.9494949495	0.1810151731
418	0.9494949495	0.1804682313
419	0.9494949495	0.1801716202
420	0.9494949495	0.1797740676
421	0.9494949495	0.1795779728
422	0.9494949495	0.1792483632
423	0.9494949495	0.1791179927
424	0.9494949495	0.1784371426
425	0.9494949495	0.1782596322
426	0.9494949495	0.1777790113
427	0.9494949495	0.1774812602
428	0.9494949495	0.177237533
